,TARGET,Predictions
271,743.525,720.306778
272,1.8345,1.6890478
273,5.677,5.2916964
274,10.450255,14.4505346
275,6.195622,5.6215256
276,1.728972,1.3926432
277,8.665549,10.9830252
278,624.44293,517.122237
279,5.171523,4.513996
280,10.541,8.7328701
281,0.939261,1.0823241
282,4.901542,5.6377253
283,18.157791,3.5703984
284,8197,8274.23426
285,19.096987,16.9713159
286,25.963032,25.7484575
287,8.724319,9.4065961
288,6.903356,7.4222429
289,1.377046,1.6525039
290,7.744854,12.9033401
291,1.431165,1.5996398
292,0.62069,0.6306851
293,42.206062,52.6112497
294,8.062392,9.5665999
295,3.419178,3.7794232
296,11.518725,14.7672149
297,53.83981,57.7738642
298,7.73066,9.160294
299,0.03357,1.2364164
300,23.485035,25.4708315
301,8.308622,6.9639302
302,12.926553,13.4127254
303,96.53694,92.5496854
304,0.9165,1.2116725
305,109.43987,111.9977301
306,77.50835,81.0230154
307,8.511692,6.0778935
308,71.4765,81.0498994
309,2.434732,2.4936662
310,19.671448,18.3868251
311,3.942588,3.432567
312,1.509507,2.3462829
313,27.09,26.9732474
314,0.681921,1.3173954
315,2.676739,2.4700372
316,2.829671,2.1903166
317,6.83512,7.7717857
318,13.1775,6.1655075
319,2.489045,2.5126863
320,6.402182,6.0533045
321,21.188322,19.6110564
322,20.782272,21.4796757
323,361.1045,424.628856
324,20.546715,25.4196804
325,45.516426,38.5170777
326,1.96,2.0946766
327,40.466316,40.5239737
328,1336.3645,1346.109095
329,1809.5015,1102.99004
330,4.678186,3.0956201
331,24.340782,32.4447943
332,3.444134,3.5154095
333,3.194067,3.997957
334,0.039,0.2014861
335,3.50295,4.6531766
336,4.113195,3.7858094
337,5.650381,1.251036
338,4.659153,4.276512
339,0.046694,0.01985998
340,73.480736,76.0946844
341,0.195438,3.3583806
342,22.612963,23.6955077
343,1.755575,1.7013236
344,3934.4321,4198.39092
345,14.172955,20.6565081
346,31.695,28.354203
347,108.40896,123.808207
348,8.749173,7.111897
349,44.70946,46.3881903
350,2.405566,3.5011347
351,95.94389,94.0155256
352,57.81291,76.0765081
353,83.09574,141.885686
354,20.145258,17.6345857
355,86.708435,63.4367773
356,67.34225,65.1587116
357,6.473633,7.0477833
358,29.051,22.0402446
359,10.503219,43.0680175
360,0.393114,0.6138095
361,40.829407,31.9320351
362,1.150565,1.5003046
363,1.334976,1.3668807
364,11.487815,9.7243993
365,1.79668,1.353799
366,5.108874,4.2830548
367,70.66876,55.4668478
368,1.243198,1.2065804
369,3.143149,3.7888758
370,16.306004,20.942499
371,0.84142,0.5593924
372,18.511772,16.5182773
373,8.200847,14.5171732
374,0.612577,0.4245991
375,646.7271,652.745297
376,31.164852,39.1074433
377,105.75,109.234787
378,429.3467,176.4235536
379,4.081328,4.177136
380,9.473,2.6829482
381,5.234967,7.1214876
382,14.008248,15.2305369
383,668.82056,635.704896
384,7.332315,9.7072169
385,0.204821,0.9981728
386,0.129,0.216117
387,27.939013,26.7819274
388,1.530006,2.3224604
389,0.098121,0.2736754
390,4.751113,5.1128407
391,54.793713,59.1416527
392,0.614151,0.8742906
393,0.504006,0.4059541
394,13.064209,9.3170522
395,26.381,28.1057194
396,1405.2365,1630.98752
397,14.654193,15.9724451
398,8.495102,7.1262553
399,5.601852,8.6215929
400,5.024461,6.7098923
401,1861.9166,2147.78507
402,98.05649,112.094007
403,1.444,2.0976731
404,13.227486,16.7194742
405,16.626873,18.9383537
406,239.30815,179.70045
407,478.96634,418.509017
408,80.051,84.0127894
409,7.245681,18.619951
410,8.770043,9.2824491
411,0.694486,3.0348316
412,26.322866,26.9047583
413,13.265924,10.2159554
414,26.461956,28.5792567
415,0.09023,21.6501272
416,0.109884,0.98220875
417,14.933069,15.0433176
418,654.0451,540.962101
419,1080.6393,1351.451735
420,28.07837,28.0318108
421,61.897038,64.4102713
422,20.508,20.6360151
423,27.809582,26.9886768
424,9.63217,6.4156709
425,8.8973,8.662066
426,4.648069,4.0740516
427,3.273734,2.5775964
428,10.51341,11.9607384
429,58.774754,53.031708
430,93.06471,98.2003665
431,0.505,0.5296933
432,32.85535,39.2732836
433,15.250626,16.356954
434,44.2925,48.0632992
435,3.037013,5.9258587
436,14.526363,19.4799873
437,1.524603,1.8065446
438,57.16282,52.953614
439,0.042199,0.22040035
440,13.852,13.1661111
441,10.692879,14.2938779
442,2.464127,1.6447008
443,0.00737,0.323947475
444,0.5235,0.7417304
445,10.3555,9.7941829
446,3.992007,5.0595742
447,88.1135,89.166192
448,53.04113,57.4398557
449,3.940563,7.1103208
450,983.74194,1001.705777
451,55.245,49.7913216
452,54.124615,60.3171582
453,4.645363,0.222602
454,20.177109,21.9735006
455,301.9933,309.402046
456,3.872973,3.9312208
457,1.538208,1.2215637
458,16.37935,14.0709317
459,2.220004,2.4954492
460,1.505206,1.6845438
461,2.743,2.3380524
462,1.452366,1.6169275
463,39.853092,50.3074496
464,8.996965,2.9054809
465,5.569933,7.1378998
466,1.7525,1.6915912
467,554.55005,569.190397
468,546.27527,490.435999
469,4.521025,4.8078822
470,73.23655,63.8328416
471,10.4955,13.7449195
472,9.381983,12.6028045
473,0.311193,0.3466442
474,39.45311,48.8341495
475,21.715,23.3336911
476,3.993704,4.5760522
477,3.117355,2.3572807
478,8309.657,7746.45823
479,104.74666,167.371154
480,5.62292,9.5004337
481,0.291044,0.386167
482,3.109562,4.3746856
483,0.506818,0.6157734
484,0.977227,1.9999876
485,1.488335,1.01887
486,4.407,3.9361621
487,12.380141,9.9986304
488,33.69546,44.2282843
489,9.989875,7.0893331
490,2.713,3.5671713
491,9.160316,6.1738064
492,2.484298,1.3989081
493,0.704617,3.9717703
494,9.897169,11.2891691
495,0.009022,0.0424302
496,142.99101,136.669646
497,49.03632,31.5160359
498,0.584715,2.206543
499,398.7625,381.325809
500,27.614288,28.954777
501,3578.0056,3600.56534
502,0.266,0.4106413
503,6.841329,7.3739898
504,3.312663,3.2235595
505,680.75555,732.202802
506,8.762209,6.5837698
507,0.393994,0.7087218
508,13.937158,30.048234
509,6.373856,5.9536091
510,1.80992,1.7357718
511,239.39365,186.22293
512,55.914886,45.0815339
513,7.606577,10.0277078
514,6.247,5.8470508
515,2.099,2.5447265
516,18.062,17.6400134
517,3.449,4.0585587
518,72.8311,87.0230902
519,212.55983,230.787228
520,22.91,32.1522293
521,6.02598,6.0313258
522,115.7,117.9975105
523,24.256872,28.4600659
524,4.615,6.6884514
525,13.266758,17.2752023
526,9.444338,9.9102638
527,0.073352,0.01925358
528,26.215738,25.6306802
529,24.49207,21.6256675
530,6.059193,10.4619272
531,625.2502,701.25674
532,25.455847,26.973007
533,11.218,11.2882687
534,8.966805,8.8638312
535,2.429501,2.995367
536,6.892597,7.7517026
537,9.715699,9.4349864
538,10.552211,15.1165018
539,51.198643,35.7821697
540,1.52587,2.0587061
541,12.42936,11.086306
542,4.407079,1.80241
543,34.403736,29.0329408
544,27.696634,36.6982562
545,28.203,23.3480941
546,23.540709,17.9235155
547,18.298403,19.7658904
548,0.424042,0.4344255
549,5.85574,5.95199753333333
550,0.0015,0.4034189
551,39.387,37.620135
552,0.772009,0.8597004
553,304.46957,292.05922
554,412.64987,404.243854
555,0.153363,0.3675866
556,59.7645,66.6078114
557,19.874565,24.5989931
558,0.547198,0.4997146
559,0.13307,0.15895045
560,1.185659,1.4833936
561,2.488,2.6602174
562,28.198872,27.4906459
563,36.902798,33.2535123
564,9.842394,5.931142
565,7.429668,8.8945771
566,0.771064,0.7327583
567,1.174846,1.0247322
568,49.658,60.6306007
569,26.864714,28.1847496
570,0.744,1.1337135
571,1080.8469,690.370137
572,0.141006,0.2054491
573,2.618795,1.6175436
574,368.39047,368.379154
575,6.91204,5.7883114
576,3.434109,4.6082859
577,0.405271,2.5415477
578,9.499511,11.7840523
579,425.71252,622.266769
580,83.9,71.4379626
581,8.094432,7.6056858
582,0.0343,0.040936575
583,22.930468,16.8474234
584,11.7475,8.9476579
585,53.202675,46.5719444
586,4.512592,3.6293529
587,5.095145,4.5496296
588,12.84201,13.6992429
589,5.510041,10.8151039
590,7.562274,6.0334681
591,0.570952,0.4343044
592,81.39585,66.0235859
593,5.62213,6.3425678
594,41.695694,50.5972201
595,1.801652,4.5250939
596,24.00485,29.3438251
597,14.38294,14.1670453
598,19.98429,22.6345165
599,29.090109,31.5118427
600,33.45427,31.9187623
601,186.91457,201.187035
602,168.08612,130.3354314
603,281.20087,309.196439
604,5.120876,9.0564704
605,17.59775,24.0602021
