,company,year,quarter,IQ_PRIV,IQ_PUB,IQ_TOTAL_REV_NEXT,FORECAST
1029,IQ22430517,2015.0,Q4,0,1,4.873999999999995,6.1472764
1030,IQ668285,2002.0,Q4,0,1,1.8000000000000114,4.656218
1031,IQ22832738,2010.0,Q4,1,0,15.369211000000007,15.319624
1032,IQ240458301,2015.0,Q4,0,1,112.24661,66.96422
1033,IQ907330,2017.0,Q4,1,0,10.684505000000001,13.214827
1034,IQ33063,2010.0,Q4,1,0,15.438931999999994,19.939238
1035,IQ170167460,2017.0,Q4,0,1,22.978634,21.23036
1036,IQ7885356,2014.0,Q4,0,1,5.604894000000002,6.1140122
1037,IQ65340486,2017.0,Q4,0,1,17.331807999999995,25.375517
1038,IQ827291,2008.0,Q4,0,1,1.0553350000000137,3.3668349
1039,IQ47267521,2016.0,Q4,0,1,10.740924000000007,8.789305
1040,IQ242476272,2013.0,Q4,0,1,3.9639999999999986,6.1525407
1041,IQ998067,2012.0,Q4,1,0,21.283918,23.56729
1042,IQ30054447,2017.0,Q4,0,1,4.122180000000014,7.7248826
1043,IQ47267521,2012.0,Q4,0,1,0.9704460000000097,5.582228
1044,IQ139653,2012.0,Q4,0,1,5.797392000000002,5.853972
1045,IQ22580571,2016.0,Q4,0,1,0.7504619999999989,4.741713
1046,IQ22832738,2015.0,Q4,1,0,21.473028,20.551054
1047,IQ907330,2014.0,Q4,1,0,12.199640999999986,12.340284
1048,IQ23077133,2007.0,Q4,1,0,39.26400000000001,44.487015
1049,IQ426614692,2017.0,Q4,0,1,1.8452350000000024,4.4952836
1050,IQ24323141,2012.0,Q1,1,0,345.56564,411.67175
1051,IQ427318,2016.0,Q4,0,1,35.760585999999975,51.833786
1052,IQ13609881,2010.0,Q4,1,0,5.783153999999996,8.356916
1053,IQ4509146,1998.0,Q4,0,1,15.220524000000012,12.605604
1054,IQ603707,2014.0,Q4,0,1,7.303521999999987,12.943953
1055,IQ9794160,2005.0,Q4,0,1,7.855500000000006,9.895613
1056,IQ146035119,2017.0,Q4,1,0,29.410364,31.336668
1057,IQ30341285,2010.0,Q4,1,0,3.6703050000000133,6.5676713
1058,IQ5579540,2017.0,Q4,1,0,111.93314,132.99803
1059,IQ426137,2014.0,Q4,0,1,7.549133000000012,9.972868
1060,IQ20950715,2017.0,Q4,0,1,0.6373560000000111,6.2363114
1061,IQ133434203,2011.0,Q4,0,1,-9.999999974752427e-07,4.3713517
1062,IQ20332882,2006.0,Q3,0,1,1.2885579999999948,5.9352555
1063,IQ20385945,2017.0,Q4,0,1,1.6504250000000127,4.996962
1064,IQ84585644,2012.0,Q4,1,0,6.00800799999999,10.412733
1065,IQ6999347,2011.0,Q4,0,1,3.7908009999999877,7.046263
1066,IQ99087217,2011.0,Q4,1,0,5.669601999999998,7.2274156
1067,IQ29968,2010.0,Q4,0,1,28.687962,27.425955
1068,IQ4155053,2009.0,Q4,0,1,1.4534319999999923,6.415175
1069,IQ710598,2015.0,Q1,1,0,7.986244999999997,10.306425
1070,IQ4493082,2010.0,Q4,0,1,51.57961700000001,65.31818
1071,IQ154798,2012.0,Q4,1,0,48.754204000000016,52.752518
1072,IQ52511612,2016.0,Q4,0,1,306.3878,342.9729
1073,IQ154798,2010.0,Q4,1,0,73.01688,84.386734
1074,IQ750833,2016.0,Q4,0,1,11.295415999999989,12.808332
1075,IQ25118027,2015.0,Q4,0,1,44.989334,23.939283
1076,IQ133434203,2013.0,Q4,0,1,0.03158799999999928,4.2311234
1077,IQ20786046,2015.0,Q4,1,0,9.192952999999989,4.173613
1078,IQ419303,2009.0,Q4,0,1,3.992007000000001,5.599196
1079,IQ326200514,2016.0,Q4,0,1,4.377906999999993,13.935148
1080,IQ9616109,2003.0,Q2,1,0,2.5459999999999923,11.725309
1081,IQ42081901,2012.0,Q4,0,1,0.2684340000000134,4.3337693
1082,IQ146035119,2016.0,Q4,1,0,28.48941999999998,31.934301
1083,IQ28071,2013.0,Q4,0,1,425.33502000000004,458.15134
1084,IQ911172,2014.0,Q4,0,1,45.91048000000001,64.22902
1085,IQ8332848,2015.0,Q4,0,1,8.199733000000009,18.154112
1086,IQ48974524,2013.0,Q4,0,1,0.5709520000000055,4.3757615
1087,IQ425518,2015.0,Q4,0,1,4.989381000000009,7.9187913
1088,IQ882368,2015.0,Q4,0,1,528.5210599999999,397.7852
1089,IQ131460,2015.0,Q1,1,0,49.168000000000006,62.4438
1090,IQ30469947,2013.0,Q2,1,0,19.703304000000003,23.06915
1091,IQ9273142,2017.0,Q4,0,1,5.6229199999999935,9.513456
1092,IQ13471413,2006.0,Q4,1,0,9.640330000000006,9.495634
1093,IQ36012959,2012.0,Q4,0,1,1.171163000000007,4.9787583
1094,IQ39505400,2014.0,Q4,1,0,41.695694,42.76841
1095,IQ6524417,2005.0,Q4,0,1,5.0186219999999935,6.142485
1096,IQ26201104,2016.0,Q4,0,1,4.082681000000008,9.672758
1097,IQ732401,2011.0,Q4,0,1,80.632675,97.518196
1098,IQ24323141,2009.0,Q1,1,0,164.20627,136.14395
1099,IQ8952281,2016.0,Q4,0,1,10.043000000000006,9.932615
1100,IQ683131,2012.0,Q4,0,1,341.34112999999996,336.35928
1101,IQ124669,2014.0,Q1,1,0,41.768353000000005,41.676094
1102,IQ39688384,2014.0,Q4,0,1,1.8054410000000018,6.4077897
1103,IQ43257686,2016.0,Q4,0,1,11.426500000000004,10.365858
1104,IQ1028801,2015.0,Q4,0,1,5.897500000000008,7.4645524
1105,IQ1027520,2009.0,Q4,0,1,32.601200000000006,21.493467
1106,IQ9206384,2013.0,Q4,1,0,10.370952999999986,11.105253
1107,IQ27176945,2016.0,Q1,1,0,18.653999999999996,12.164503
1108,IQ241489858,2013.0,Q4,0,1,9.155007000000012,6.905638
1109,IQ50208126,2015.0,Q4,0,1,2.4509999999999934,5.0818925
1110,IQ773380,2017.0,Q4,1,0,43.15175199999999,43.410324
1111,IQ100410633,2016.0,Q4,0,1,202.88092,311.0962
1112,IQ5647569,2009.0,Q4,0,1,47.91333800000001,47.99343
1113,IQ5669608,2014.0,Q4,0,1,32.683205000000015,30.5922
1114,IQ625637,2013.0,Q4,0,1,2.279500000000013,4.781981
1115,IQ7356085,2016.0,Q4,1,0,3.7952589999999873,9.262419
1116,IQ713996,2013.0,Q4,1,0,5.160992999999991,8.8032055
1117,IQ20376079,2009.0,Q4,0,1,50.346283,55.098083
1118,IQ35248832,2009.0,Q4,0,1,0.5143329999999935,4.217406
1119,IQ217254987,2017.0,Q4,1,0,13.519652000000008,10.570311
1120,IQ253288540,2014.0,Q4,1,0,176.22525,146.59073
1121,IQ522035,2012.0,Q4,1,0,141.29192,158.21169
